context_id,experiment_id,dataset_name,meta_seed,context_family,source_env,action_budget,normalized_budget_cost,shape_score,private_mean_length,private_p75_length,private_length_iqr,support_mean_at_k20,coverage_mean_at_k20,coverage_p25_at_k20,genericity_mean_at_k20,best_top1,best_top3,best_top5,best_top10,synthetic_train_count,eval_count,reward,config_path,output_root,status,attempt,duration_seconds
congressional_seed42,congressional_seed42_k18,congressional,42,natural,round19_stable_pipeline,18,0.0,-4.5,85.0,110.0,35.0,0.72,0.68,0.64,0.18,0.295,0.345,0.365,0.385,75,256,0.295,cfg,out,success,1,1.0
congressional_seed42,congressional_seed42_k19,congressional,42,natural,round19_stable_pipeline,19,0.25,-4.5,85.0,110.0,35.0,0.72,0.68,0.64,0.18,0.294,0.344,0.364,0.384,75,256,0.2935,cfg,out,success,1,1.0
congressional_seed42,congressional_seed42_k20,congressional,42,natural,round19_stable_pipeline,20,0.5,-4.5,85.0,110.0,35.0,0.72,0.68,0.64,0.18,0.292,0.342,0.362,0.382,75,256,0.291,cfg,out,success,1,1.0
congressional_seed42,congressional_seed42_k21,congressional,42,natural,round19_stable_pipeline,21,0.75,-4.5,85.0,110.0,35.0,0.72,0.68,0.64,0.18,0.291,0.341,0.361,0.381,75,256,0.2895,cfg,out,success,1,1.0
congressional_seed42,congressional_seed42_k22,congressional,42,natural,round19_stable_pipeline,22,1.0,-4.5,85.0,110.0,35.0,0.72,0.68,0.64,0.18,0.29,0.34,0.36,0.38,75,256,0.288,cfg,out,success,1,1.0
forums_seed42,forums_seed42_k18,forums,42,natural,round19_stable_pipeline,18,0.0,3.0,220.0,380.0,120.0,0.52,0.8,0.76,0.28,0.27,0.32,0.34,0.36,90,256,0.27,cfg,out,success,1,1.0
forums_seed42,forums_seed42_k19,forums,42,natural,round19_stable_pipeline,19,0.25,3.0,220.0,380.0,120.0,0.52,0.8,0.76,0.28,0.268,0.318,0.338,0.358,90,256,0.2675,cfg,out,success,1,1.0
forums_seed42,forums_seed42_k20,forums,42,natural,round19_stable_pipeline,20,0.5,3.0,220.0,380.0,120.0,0.52,0.8,0.76,0.28,0.266,0.316,0.336,0.356,90,256,0.265,cfg,out,success,1,1.0
forums_seed42,forums_seed42_k21,forums,42,natural,round19_stable_pipeline,21,0.75,3.0,220.0,380.0,120.0,0.52,0.8,0.76,0.28,0.265,0.315,0.335,0.355,90,256,0.2635,cfg,out,success,1,1.0
forums_seed42,forums_seed42_k22,forums,42,natural,round19_stable_pipeline,22,1.0,3.0,220.0,380.0,120.0,0.52,0.8,0.76,0.28,0.264,0.314,0.334,0.354,90,256,0.262,cfg,out,success,1,1.0
jobs_seed42,jobs_seed42_k18,jobs,42,natural,round19_stable_pipeline,18,0.0,0.2,100.0,150.0,60.0,0.6,0.7,0.65,0.2,0.25,0.3,0.32,0.35,80,256,0.25,cfg,out,success,1,1.0
jobs_seed42,jobs_seed42_k19,jobs,42,natural,round19_stable_pipeline,19,0.25,0.2,100.0,150.0,60.0,0.6,0.7,0.65,0.2,0.255,0.305,0.325,0.355,80,256,0.2545,cfg,out,success,1,1.0
jobs_seed42,jobs_seed42_k20,jobs,42,natural,round19_stable_pipeline,20,0.5,0.2,100.0,150.0,60.0,0.6,0.7,0.65,0.2,0.253,0.303,0.323,0.353,80,256,0.252,cfg,out,success,1,1.0
jobs_seed42,jobs_seed42_k21,jobs,42,natural,round19_stable_pipeline,21,0.75,0.2,100.0,150.0,60.0,0.6,0.7,0.65,0.2,0.249,0.299,0.319,0.349,80,256,0.2475,cfg,out,success,1,1.0
jobs_seed42,jobs_seed42_k22,jobs,42,natural,round19_stable_pipeline,22,1.0,0.2,100.0,150.0,60.0,0.6,0.7,0.65,0.2,0.247,0.297,0.317,0.347,80,256,0.245,cfg,out,success,1,1.0
microblog_seed42,microblog_seed42_k18,microblog,42,natural,round19_stable_pipeline,18,0.0,3.2,190.0,340.0,95.0,0.55,0.74,0.7,0.24,0.276,0.326,0.346,0.366,88,256,0.276,cfg,out,success,1,1.0
microblog_seed42,microblog_seed42_k19,microblog,42,natural,round19_stable_pipeline,19,0.25,3.2,190.0,340.0,95.0,0.55,0.74,0.7,0.24,0.278,0.328,0.348,0.368,88,256,0.2775,cfg,out,success,1,1.0
microblog_seed42,microblog_seed42_k20,microblog,42,natural,round19_stable_pipeline,20,0.5,3.2,190.0,340.0,95.0,0.55,0.74,0.7,0.24,0.277,0.327,0.347,0.367,88,256,0.276,cfg,out,success,1,1.0
microblog_seed42,microblog_seed42_k21,microblog,42,natural,round19_stable_pipeline,21,0.75,3.2,190.0,340.0,95.0,0.55,0.74,0.7,0.24,0.274,0.324,0.344,0.364,88,256,0.2725,cfg,out,success,1,1.0
microblog_seed42,microblog_seed42_k22,microblog,42,natural,round19_stable_pipeline,22,1.0,3.2,190.0,340.0,95.0,0.55,0.74,0.7,0.24,0.273,0.323,0.343,0.363,88,256,0.271,cfg,out,success,1,1.0
