experiment_id	method	method_display_name	dataset	seed	config_path	output_root	source_artifact_path	implementation_key	pretext_template_key	mapping_status
pretext_jobs_seed42	pretext	PrE-Text	jobs	42	configs/experiments/thesis_e1_main_seen_smoke/pretext_jobs_seed42.yaml	paper-new-round19/outputs/thesis_e1_main_seen_smoke/pretext/jobs/seed42		expand_private	expand_private	needs_verification
pretext_congressional_seed42	pretext	PrE-Text	congressional	42	configs/experiments/thesis_e1_main_seen_smoke/pretext_congressional_seed42.yaml	paper-new-round19/outputs/thesis_e1_main_seen_smoke/pretext/congressional/seed42		expand_private	expand_private	needs_verification
pretext_forums_seed42	pretext	PrE-Text	forums	42	configs/experiments/thesis_e1_main_seen_smoke/pretext_forums_seed42.yaml	paper-new-round19/outputs/thesis_e1_main_seen_smoke/pretext/forums/seed42		expand_private	expand_private	needs_verification
pretext_microblog_seed42	pretext	PrE-Text	microblog	42	configs/experiments/thesis_e1_main_seen_smoke/pretext_microblog_seed42.yaml	paper-new-round19/outputs/thesis_e1_main_seen_smoke/pretext/microblog/seed42		expand_private	expand_private	needs_verification
round19_jobs_seed42	round19	round19	jobs	42	configs/experiments/thesis_e1_main_seen_smoke/round19_jobs_seed42.yaml	paper-new-round19/outputs/thesis_e1_main_seen_smoke/round19/jobs/seed42		round19		canonical_round19
round19_congressional_seed42	round19	round19	congressional	42	configs/experiments/thesis_e1_main_seen_smoke/round19_congressional_seed42.yaml	paper-new-round19/outputs/thesis_e1_main_seen_smoke/round19/congressional/seed42		round19		canonical_round19
round19_forums_seed42	round19	round19	forums	42	configs/experiments/thesis_e1_main_seen_smoke/round19_forums_seed42.yaml	paper-new-round19/outputs/thesis_e1_main_seen_smoke/round19/forums/seed42		round19		canonical_round19
round19_microblog_seed42	round19	round19	microblog	42	configs/experiments/thesis_e1_main_seen_smoke/round19_microblog_seed42.yaml	paper-new-round19/outputs/thesis_e1_main_seen_smoke/round19/microblog/seed42		round19		canonical_round19
wasp_jobs_seed42	wasp	WASP	jobs	42	configs/experiments/thesis_e1_main_seen_smoke/wasp_jobs_seed42.yaml	paper-new-round19/outputs/thesis_e1_main_seen_smoke/wasp/jobs/seed42	WASP/outputs/paper_new_screening/thesis_e1_main/jobs/seed42/train.jsonl	wasp		external_adapter
wasp_congressional_seed42	wasp	WASP	congressional	42	configs/experiments/thesis_e1_main_seen_smoke/wasp_congressional_seed42.yaml	paper-new-round19/outputs/thesis_e1_main_seen_smoke/wasp/congressional/seed42	WASP/outputs/paper_new_screening/thesis_e1_main/congressional/seed42/train.jsonl	wasp		external_adapter
wasp_forums_seed42	wasp	WASP	forums	42	configs/experiments/thesis_e1_main_seen_smoke/wasp_forums_seed42.yaml	paper-new-round19/outputs/thesis_e1_main_seen_smoke/wasp/forums/seed42	WASP/outputs/paper_new_screening/thesis_e1_main/forums/seed42/train.jsonl	wasp		external_adapter
wasp_microblog_seed42	wasp	WASP	microblog	42	configs/experiments/thesis_e1_main_seen_smoke/wasp_microblog_seed42.yaml	paper-new-round19/outputs/thesis_e1_main_seen_smoke/wasp/microblog/seed42	WASP/outputs/paper_new_screening/thesis_e1_main/microblog/seed42/train.jsonl	wasp		external_adapter
dpga_jobs_seed42	dpga	DPGA-TextSyn	jobs	42	configs/experiments/thesis_e1_main_seen_smoke/dpga_jobs_seed42.yaml	paper-new-round19/outputs/thesis_e1_main_seen_smoke/dpga/jobs/seed42	DPGA-TextSyn/outputs/paper_new_screening/thesis_e1_main/jobs/seed42/epoch_all.json	dpga		external_adapter
dpga_congressional_seed42	dpga	DPGA-TextSyn	congressional	42	configs/experiments/thesis_e1_main_seen_smoke/dpga_congressional_seed42.yaml	paper-new-round19/outputs/thesis_e1_main_seen_smoke/dpga/congressional/seed42	DPGA-TextSyn/outputs/paper_new_screening/thesis_e1_main/congressional/seed42/epoch_all.json	dpga		external_adapter
dpga_forums_seed42	dpga	DPGA-TextSyn	forums	42	configs/experiments/thesis_e1_main_seen_smoke/dpga_forums_seed42.yaml	paper-new-round19/outputs/thesis_e1_main_seen_smoke/dpga/forums/seed42	DPGA-TextSyn/outputs/paper_new_screening/thesis_e1_main/forums/seed42/epoch_all.json	dpga		external_adapter
dpga_microblog_seed42	dpga	DPGA-TextSyn	microblog	42	configs/experiments/thesis_e1_main_seen_smoke/dpga_microblog_seed42.yaml	paper-new-round19/outputs/thesis_e1_main_seen_smoke/dpga/microblog/seed42	DPGA-TextSyn/outputs/paper_new_screening/thesis_e1_main/microblog/seed42/epoch_all.json	dpga		external_adapter
