experiment_id	method	method_display_name	dataset	seed	config_path	output_root	source_artifact_path	implementation_key	pretext_template_key	mapping_status
pretext_bioarxiv_seed42	pretext	PrE-Text	bioarxiv	42	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_bioarxiv_seed42.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/bioarxiv/seed42		expand_private	expand_private	needs_verification
pretext_bioarxiv_seed123	pretext	PrE-Text	bioarxiv	123	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_bioarxiv_seed123.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/bioarxiv/seed123		expand_private	expand_private	needs_verification
pretext_bioarxiv_seed456	pretext	PrE-Text	bioarxiv	456	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_bioarxiv_seed456.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/bioarxiv/seed456		expand_private	expand_private	needs_verification
pretext_bioarxiv_seed789	pretext	PrE-Text	bioarxiv	789	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_bioarxiv_seed789.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/bioarxiv/seed789		expand_private	expand_private	needs_verification
pretext_bioarxiv_seed1024	pretext	PrE-Text	bioarxiv	1024	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_bioarxiv_seed1024.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/bioarxiv/seed1024		expand_private	expand_private	needs_verification
pretext_bioarxiv_seed2048	pretext	PrE-Text	bioarxiv	2048	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_bioarxiv_seed2048.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/bioarxiv/seed2048		expand_private	expand_private	needs_verification
pretext_bioarxiv_seed4096	pretext	PrE-Text	bioarxiv	4096	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_bioarxiv_seed4096.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/bioarxiv/seed4096		expand_private	expand_private	needs_verification
pretext_bioarxiv_seed8192	pretext	PrE-Text	bioarxiv	8192	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_bioarxiv_seed8192.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/bioarxiv/seed8192		expand_private	expand_private	needs_verification
pretext_bioarxiv_seed100	pretext	PrE-Text	bioarxiv	100	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_bioarxiv_seed100.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/bioarxiv/seed100		expand_private	expand_private	needs_verification
pretext_bioarxiv_seed200	pretext	PrE-Text	bioarxiv	200	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_bioarxiv_seed200.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/bioarxiv/seed200		expand_private	expand_private	needs_verification
pretext_bioarxiv_seed300	pretext	PrE-Text	bioarxiv	300	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_bioarxiv_seed300.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/bioarxiv/seed300		expand_private	expand_private	needs_verification
pretext_bioarxiv_seed400	pretext	PrE-Text	bioarxiv	400	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_bioarxiv_seed400.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/bioarxiv/seed400		expand_private	expand_private	needs_verification
pretext_bioarxiv_seed500	pretext	PrE-Text	bioarxiv	500	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_bioarxiv_seed500.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/bioarxiv/seed500		expand_private	expand_private	needs_verification
pretext_bioarxiv_seed600	pretext	PrE-Text	bioarxiv	600	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_bioarxiv_seed600.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/bioarxiv/seed600		expand_private	expand_private	needs_verification
pretext_bioarxiv_seed700	pretext	PrE-Text	bioarxiv	700	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_bioarxiv_seed700.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/bioarxiv/seed700		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed42	pretext	PrE-Text	rotten_tomatoes	42	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed42.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed42		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed123	pretext	PrE-Text	rotten_tomatoes	123	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed123.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed123		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed456	pretext	PrE-Text	rotten_tomatoes	456	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed456.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed456		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed789	pretext	PrE-Text	rotten_tomatoes	789	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed789.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed789		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed1024	pretext	PrE-Text	rotten_tomatoes	1024	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed1024.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed1024		expand_private	expand_private	needs_verification
