experiment_id	dataset	seed	config_path	output_root	method	controller_scope	controller_bundle	reference_budget
r23_e5_k19_keepk0_r5_jobs_seed42	jobs	42	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_jobs_seed42.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/jobs/seed42	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_jobs_seed123	jobs	123	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_jobs_seed123.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/jobs/seed123	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_jobs_seed456	jobs	456	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_jobs_seed456.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/jobs/seed456	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_jobs_seed789	jobs	789	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_jobs_seed789.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/jobs/seed789	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_jobs_seed1024	jobs	1024	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_jobs_seed1024.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/jobs/seed1024	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_congressional_seed42	congressional	42	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_congressional_seed42.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/congressional/seed42	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_congressional_seed123	congressional	123	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_congressional_seed123.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/congressional/seed123	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_congressional_seed456	congressional	456	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_congressional_seed456.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/congressional/seed456	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_congressional_seed789	congressional	789	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_congressional_seed789.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/congressional/seed789	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_congressional_seed1024	congressional	1024	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_congressional_seed1024.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/congressional/seed1024	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_forums_seed42	forums	42	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_forums_seed42.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/forums/seed42	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_forums_seed123	forums	123	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_forums_seed123.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/forums/seed123	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_forums_seed456	forums	456	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_forums_seed456.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/forums/seed456	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_forums_seed789	forums	789	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_forums_seed789.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/forums/seed789	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_forums_seed1024	forums	1024	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_forums_seed1024.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/forums/seed1024	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_microblog_seed42	microblog	42	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_microblog_seed42.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/microblog/seed42	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_microblog_seed123	microblog	123	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_microblog_seed123.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/microblog/seed123	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_microblog_seed456	microblog	456	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_microblog_seed456.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/microblog/seed456	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_microblog_seed789	microblog	789	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_microblog_seed789.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/microblog/seed789	round23_keepk0	all6		19
r23_e5_k19_keepk0_r5_microblog_seed1024	microblog	1024	configs/experiments/single_node_tuning_round23_dynamic/e5_anchor_k19_keepk0_all6_repeat5/r23_e5_k19_keepk0_r5_microblog_seed1024.yaml	outputs/e5_anchor_k19_keepk0_all6_repeat5/microblog/seed1024	round23_keepk0	all6		19
