experiment_id	dataset	seed	config_path	output_root	method	controller_scope	controller_bundle
r23_e7_nored_r5_jobs_seed42	jobs	42	configs/experiments/single_node_tuning_round23_dynamic/e7_no_redundancy_seen_repeat5/r23_e7_nored_r5_jobs_seed42.yaml	outputs/e7_no_redundancy_seen_repeat5/jobs/seed42	round23	all6	round23_e7_no_redundancy_extratrees_all6
r23_e7_nored_r5_jobs_seed123	jobs	123	configs/experiments/single_node_tuning_round23_dynamic/e7_no_redundancy_seen_repeat5/r23_e7_nored_r5_jobs_seed123.yaml	outputs/e7_no_redundancy_seen_repeat5/jobs/seed123	round23	all6	round23_e7_no_redundancy_extratrees_all6
r23_e7_nored_r5_jobs_seed456	jobs	456	configs/experiments/single_node_tuning_round23_dynamic/e7_no_redundancy_seen_repeat5/r23_e7_nored_r5_jobs_seed456.yaml	outputs/e7_no_redundancy_seen_repeat5/jobs/seed456	round23	all6	round23_e7_no_redundancy_extratrees_all6
r23_e7_nored_r5_jobs_seed789	jobs	789	configs/experiments/single_node_tuning_round23_dynamic/e7_no_redundancy_seen_repeat5/r23_e7_nored_r5_jobs_seed789.yaml	outputs/e7_no_redundancy_seen_repeat5/jobs/seed789	round23	all6	round23_e7_no_redundancy_extratrees_all6
r23_e7_nored_r5_jobs_seed1024	jobs	1024	configs/experiments/single_node_tuning_round23_dynamic/e7_no_redundancy_seen_repeat5/r23_e7_nored_r5_jobs_seed1024.yaml	outputs/e7_no_redundancy_seen_repeat5/jobs/seed1024	round23	all6	round23_e7_no_redundancy_extratrees_all6
r23_e7_nored_r5_congressional_seed42	congressional	42	configs/experiments/single_node_tuning_round23_dynamic/e7_no_redundancy_seen_repeat5/r23_e7_nored_r5_congressional_seed42.yaml	outputs/e7_no_redundancy_seen_repeat5/congressional/seed42	round23	all6	round23_e7_no_redundancy_extratrees_all6
r23_e7_nored_r5_congressional_seed123	congressional	123	configs/experiments/single_node_tuning_round23_dynamic/e7_no_redundancy_seen_repeat5/r23_e7_nored_r5_congressional_seed123.yaml	outputs/e7_no_redundancy_seen_repeat5/congressional/seed123	round23	all6	round23_e7_no_redundancy_extratrees_all6
r23_e7_nored_r5_congressional_seed456	congressional	456	configs/experiments/single_node_tuning_round23_dynamic/e7_no_redundancy_seen_repeat5/r23_e7_nored_r5_congressional_seed456.yaml	outputs/e7_no_redundancy_seen_repeat5/congressional/seed456	round23	all6	round23_e7_no_redundancy_extratrees_all6
r23_e7_nored_r5_congressional_seed789	congressional	789	configs/experiments/single_node_tuning_round23_dynamic/e7_no_redundancy_seen_repeat5/r23_e7_nored_r5_congressional_seed789.yaml	outputs/e7_no_redundancy_seen_repeat5/congressional/seed789	round23	all6	round23_e7_no_redundancy_extratrees_all6
r23_e7_nored_r5_congressional_seed1024	congressional	1024	configs/experiments/single_node_tuning_round23_dynamic/e7_no_redundancy_seen_repeat5/r23_e7_nored_r5_congressional_seed1024.yaml	outputs/e7_no_redundancy_seen_repeat5/congressional/seed1024	round23	all6	round23_e7_no_redundancy_extratrees_all6
r23_e7_nored_r5_forums_seed42	forums	42	configs/experiments/single_node_tuning_round23_dynamic/e7_no_redundancy_seen_repeat5/r23_e7_nored_r5_forums_seed42.yaml	outputs/e7_no_redundancy_seen_repeat5/forums/seed42	round23	all6	round23_e7_no_redundancy_extratrees_all6
r23_e7_nored_r5_forums_seed123	forums	123	configs/experiments/single_node_tuning_round23_dynamic/e7_no_redundancy_seen_repeat5/r23_e7_nored_r5_forums_seed123.yaml	outputs/e7_no_redundancy_seen_repeat5/forums/seed123	round23	all6	round23_e7_no_redundancy_extratrees_all6
r23_e7_nored_r5_forums_seed456	forums	456	configs/experiments/single_node_tuning_round23_dynamic/e7_no_redundancy_seen_repeat5/r23_e7_nored_r5_forums_seed456.yaml	outputs/e7_no_redundancy_seen_repeat5/forums/seed456	round23	all6	round23_e7_no_redundancy_extratrees_all6
