experiment_id	dataset	seed	config_path	output_root	method	controller_scope	controller_bundle
r23_e2_r15_bioarxiv_seed42	bioarxiv	42	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_repeat15/r23_e2_r15_bioarxiv_seed42.yaml	outputs/thesis_e2_extra_unseen_repeat15/bioarxiv/seed42	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_r15_bioarxiv_seed123	bioarxiv	123	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_repeat15/r23_e2_r15_bioarxiv_seed123.yaml	outputs/thesis_e2_extra_unseen_repeat15/bioarxiv/seed123	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_r15_bioarxiv_seed456	bioarxiv	456	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_repeat15/r23_e2_r15_bioarxiv_seed456.yaml	outputs/thesis_e2_extra_unseen_repeat15/bioarxiv/seed456	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_r15_bioarxiv_seed789	bioarxiv	789	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_repeat15/r23_e2_r15_bioarxiv_seed789.yaml	outputs/thesis_e2_extra_unseen_repeat15/bioarxiv/seed789	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_r15_bioarxiv_seed1024	bioarxiv	1024	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_repeat15/r23_e2_r15_bioarxiv_seed1024.yaml	outputs/thesis_e2_extra_unseen_repeat15/bioarxiv/seed1024	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_r15_bioarxiv_seed2048	bioarxiv	2048	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_repeat15/r23_e2_r15_bioarxiv_seed2048.yaml	outputs/thesis_e2_extra_unseen_repeat15/bioarxiv/seed2048	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_r15_bioarxiv_seed4096	bioarxiv	4096	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_repeat15/r23_e2_r15_bioarxiv_seed4096.yaml	outputs/thesis_e2_extra_unseen_repeat15/bioarxiv/seed4096	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_r15_bioarxiv_seed8192	bioarxiv	8192	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_repeat15/r23_e2_r15_bioarxiv_seed8192.yaml	outputs/thesis_e2_extra_unseen_repeat15/bioarxiv/seed8192	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_r15_bioarxiv_seed100	bioarxiv	100	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_repeat15/r23_e2_r15_bioarxiv_seed100.yaml	outputs/thesis_e2_extra_unseen_repeat15/bioarxiv/seed100	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_r15_bioarxiv_seed200	bioarxiv	200	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_repeat15/r23_e2_r15_bioarxiv_seed200.yaml	outputs/thesis_e2_extra_unseen_repeat15/bioarxiv/seed200	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_r15_bioarxiv_seed300	bioarxiv	300	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_repeat15/r23_e2_r15_bioarxiv_seed300.yaml	outputs/thesis_e2_extra_unseen_repeat15/bioarxiv/seed300	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_r15_bioarxiv_seed400	bioarxiv	400	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_repeat15/r23_e2_r15_bioarxiv_seed400.yaml	outputs/thesis_e2_extra_unseen_repeat15/bioarxiv/seed400	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_r15_bioarxiv_seed500	bioarxiv	500	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_repeat15/r23_e2_r15_bioarxiv_seed500.yaml	outputs/thesis_e2_extra_unseen_repeat15/bioarxiv/seed500	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_r15_bioarxiv_seed600	bioarxiv	600	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_repeat15/r23_e2_r15_bioarxiv_seed600.yaml	outputs/thesis_e2_extra_unseen_repeat15/bioarxiv/seed600	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_r15_bioarxiv_seed700	bioarxiv	700	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_repeat15/r23_e2_r15_bioarxiv_seed700.yaml	outputs/thesis_e2_extra_unseen_repeat15/bioarxiv/seed700	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_r15_rotten_tomatoes_seed42	rotten_tomatoes	42	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_repeat15/r23_e2_r15_rotten_tomatoes_seed42.yaml	outputs/thesis_e2_extra_unseen_repeat15/rotten_tomatoes/seed42	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
