experiment_id	dataset	seed	config_path	output_root	method	controller_scope	controller_bundle
r23_e1_r15_jobs_seed42	jobs	42	configs/experiments/single_node_tuning_round23_dynamic/thesis_main_seen_repeat15/r23_e1_r15_jobs_seed42.yaml	outputs/thesis_main_seen_repeat15/jobs/seed42	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e1_r15_jobs_seed123	jobs	123	configs/experiments/single_node_tuning_round23_dynamic/thesis_main_seen_repeat15/r23_e1_r15_jobs_seed123.yaml	outputs/thesis_main_seen_repeat15/jobs/seed123	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e1_r15_jobs_seed456	jobs	456	configs/experiments/single_node_tuning_round23_dynamic/thesis_main_seen_repeat15/r23_e1_r15_jobs_seed456.yaml	outputs/thesis_main_seen_repeat15/jobs/seed456	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e1_r15_jobs_seed789	jobs	789	configs/experiments/single_node_tuning_round23_dynamic/thesis_main_seen_repeat15/r23_e1_r15_jobs_seed789.yaml	outputs/thesis_main_seen_repeat15/jobs/seed789	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e1_r15_jobs_seed1024	jobs	1024	configs/experiments/single_node_tuning_round23_dynamic/thesis_main_seen_repeat15/r23_e1_r15_jobs_seed1024.yaml	outputs/thesis_main_seen_repeat15/jobs/seed1024	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e1_r15_jobs_seed2048	jobs	2048	configs/experiments/single_node_tuning_round23_dynamic/thesis_main_seen_repeat15/r23_e1_r15_jobs_seed2048.yaml	outputs/thesis_main_seen_repeat15/jobs/seed2048	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e1_r15_jobs_seed4096	jobs	4096	configs/experiments/single_node_tuning_round23_dynamic/thesis_main_seen_repeat15/r23_e1_r15_jobs_seed4096.yaml	outputs/thesis_main_seen_repeat15/jobs/seed4096	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e1_r15_jobs_seed8192	jobs	8192	configs/experiments/single_node_tuning_round23_dynamic/thesis_main_seen_repeat15/r23_e1_r15_jobs_seed8192.yaml	outputs/thesis_main_seen_repeat15/jobs/seed8192	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e1_r15_jobs_seed100	jobs	100	configs/experiments/single_node_tuning_round23_dynamic/thesis_main_seen_repeat15/r23_e1_r15_jobs_seed100.yaml	outputs/thesis_main_seen_repeat15/jobs/seed100	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e1_r15_jobs_seed200	jobs	200	configs/experiments/single_node_tuning_round23_dynamic/thesis_main_seen_repeat15/r23_e1_r15_jobs_seed200.yaml	outputs/thesis_main_seen_repeat15/jobs/seed200	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
